Time (s), X (m/s2), Y (m/s2), Z (m/s2)
3.5933266,-3.656444,-9.110406,-1.765647
3.6131794,-3.31346,-8.481728,-1.775559
3.6330326,-2.819278,-8.16373,-1.641541
3.6528845,-2.401356,-8.221439,-1.603023
3.6727374,-2.16591,-8.792591,-1.808465
3.6925905,-1.782713,-8.771359,-1.87895
3.7124436,-1.171895,-9.289015,-2.17789
3.7322953,-0.798792,-8.49048,-1.93803
3.7521484,-0.88234,-7.924779,-1.670463
3.7720015,-1.100624,-7.498027,-1.297696
3.791853,-1.631754,-7.713486,-0.860352
3.8117044,-1.902682,-8.172416,-0.801483
3.8315594,-1.98329,-8.262371,-0.833958
3.8514359,-2.054474,-8.372179,-0.640459
3.8712623,-1.840787,-8.264028,-0.296613
3.8911154,-1.834677,-8.244406,-0.246114
3.9109688,-1.926605,-8.836912,-0.293184
3.9308219,-1.730155,-9.700665,-0.095577
3.9506733,-1.481465,-10.030651,-0.232199
3.9705265,-1.665665,-10.676444,-0.318199
3.9903796,-2.246001,-11.769484,0.203641
4.010231,-2.707095,-12.117372,0.689367
4.0300856,-2.786295,-11.574231,2.525529
4.0499372,-2.980398,-10.420916,2.282421
4.0697908,-3.17066,-10.539448,-1.958629
4.089642,-1.222326,-13.688044,-0.148
4.1094966,0.611345,-12.633436,-3.723424
4.1293483,1.470413,-11.764408,-2.975102
4.1492,-0.249447,-10.221307,-3.791017
4.1690531,-2.313201,-9.007532,-3.742003
4.1889062,-3.401854,-9.692197,-3.49223
4.2087579,-2.940396,-10.178786,-3.463692
4.2286105,-1.24509,-9.999163,-2.641753
4.2484641,0.339957,-10.25882,-2.205271
4.2683172,0.868051,-9.59665,-1.93801
4.2881684,0.216656,-8.896413,-2.11091
4.3080215,-0.189793,-8.602232,-1.931575
4.3278751,-0.844406,-8.796402,-1.996228
4.3477263,-1.582108,-8.965625,-1.845412
4.3675795,-1.729035,-8.291924,-1.70651
4.3874331,-2.167902,-8.227359,-1.681065
4.4072857,-2.055068,-9.011765,-1.622043
4.4271374,-1.589941,-8.615755,-1.043958
4.4469905,-1.097425,-8.193887,-0.930291
4.4668436,-1.25212,-7.956114,-0.974737
4.4866953,-1.590736,-7.830323,-1.027429
4.5065479,-1.816375,-7.855079,-0.926527
4.5264015,-1.800315,-7.977892,-0.739377
4.5462532,-1.46867,-8.057446,-0.57276
4.5661058,-1.067402,-8.259277,-0.560961
4.5859594,-0.771881,-8.875526,-0.77372
4.6058106,-1.157989,-9.647473,-0.960544
4.6256638,-2.028301,-10.093638,-1.231529
4.6455173,-2.613108,-10.138783,-1.27656
4.66537,-3.135063,-10.831982,-0.861501
4.6852217,-3.087227,-11.311913,0.158726
4.7050753,-2.368229,-11.270293,1.035952
4.7249279,-1.566095,-11.271241,1.163324
4.744781,-1.095472,-11.522058,-1.194324
4.7646322,-2.739867,-12.800322,-0.896638
4.7844858,-5.176896,-10.43871,-2.646014
4.8043375,-5.462707,-9.989145,-2.74726
4.8241901,-1.958419,-10.325445,-2.737674
4.8440671,-0.522032,-10.492378,-4.535001
4.8638968,-0.084238,-9.951519,-5.979883
4.8837481,-0.307281,-8.360858,-4.93987
4.9036016,-1.473784,-7.877134,-3.746246
4.9234543,-2.761721,-8.522937,-2.29739
4.943306,-4.145283,-10.139636,-1.608884
4.9631596,-5.258692,-11.612433,-1.602468
4.9830122,-4.899351,-9.703815,-1.723844
5.0028653,-3.659844,-7.43346,-1.909414
5.0227175,-2.916827,-7.432799,-2.101333
5.0425701,-1.879123,-8.495432,-2.319062
5.0624218,-1.069097,-9.502318,-2.576381
5.0822744,-0.418506,-9.159315,-2.1625
5.102128,-0.452514,-8.730792,-1.772188
5.1219811,-1.044523,-8.304317,-1.385285
5.1418343,-1.933088,-7.823839,-1.128512
5.1616859,-2.254083,-7.855079,-1.014213
5.1815386,-2.333839,-7.700576,-0.562944
5.2013903,-2.382643,-7.529716,-0.331147
5.2212439,-2.504852,-7.391495,-0.024344
5.2410965,-2.440477,-7.380251,0.00544
5.2609501,-2.83395,-7.845541,-0.587403
5.2808018,-2.998278,-8.933599,-0.670511
5.3006544,-2.809031,-10.001442,-0.646942
5.3205061,-2.785625,-10.894939,-1.623613
5.3403592,-2.48567,-11.32716,-0.21725
5.3602123,-2.790222,-10.356512,1.477673
5.3800654,-3.933463,-9.526194,-1.303576
5.3999186,-4.022096,-12.511016,-3.358548
5.4197702,-2.71039,-13.781341,-3.159676
5.4396214,-1.2632,-11.73087,-2.641303
5.4594746,-1.415222,-10.631635,-2.888528
5.4793282,-2.147063,-10.058587,-3.331426
5.4991794,-1.959357,-10.073402,-3.610552
5.5190325,-1.210365,-10.058826,-3.998489
5.5388861,0.693782,-10.272055,-3.281608
5.5587387,1.897232,-11.281631,-2.631477
5.5785904,1.818664,-10.392061,-2.437556
5.5984435,1.397208,-9.73649,-2.295963
5.6182966,0.804404,-8.73558,-2.141613
5.6381502,0.093393,-9.064084,-2.139937
5.6580014,-0.441156,-9.529364,-1.900479
5.6778545,-0.658501,-9.327054,-1.624332
5.6977062,-1.621938,-8.891108,-1.454382
5.7175593,-1.823979,-8.783799,-1.601347
5.7374125,-1.703963,-8.868382,-1.262003
5.7572651,-1.309389,-8.684947,-1.036191
5.7771173,-1.029104,-8.390567,-0.978223
5.7969704,-1.221493,-8.416002,-0.935099
5.816823,-1.679523,-8.464278,-0.604526
5.8367062,-1.984037,-8.092699,-0.444239
5.8565278,-2.164598,-7.707999,-0.514753
5.8763809,-2.447276,-7.914723,-0.603262
5.8962345,-2.260261,-8.626759,-0.999886
5.9160857,-2.697882,-9.609857,-1.205203
5.9359388,-2.583956,-10.139234,-0.99413
5.9557924,-1.834792,-10.23571,-0.485621
5.9756436,-1.872017,-10.413198,-0.106915
5.9954967,-1.839044,-10.329716,0.262989
6.0153494,-1.57437,-10.375274,0.48337
6.0352015,-1.149313,-10.277761,0.356305
6.0550547,-0.646511,-10.907255,-1.455445
6.0749073,-3.140254,-12.389016,-1.218093
6.0947609,-4.963515,-11.452108,-1.445973
6.1146126,-3.561049,-11.001155,-3.086672
6.1344652,-1.378026,-10.59736,-3.693621
6.1543188,-0.724428,-9.783867,-3.947263
6.17417,-1.391318,-8.666695,-3.178188
6.1940231,-2.707957,-9.039414,-1.586542
6.2138767,-4.164838,-10.646737,-0.187849
6.2337279,-5.093549,-11.678791,-0.18827
6.253581,-4.703544,-10.805903,-0.997281
6.2734346,-3.812718,-9.214075,-1.587844
6.2932858,-2.470797,-8.436936,-1.498761
6.313139,-1.56939,-8.051432,-1.343636
6.3329916,-1.344038,-8.026542,-0.936535
6.3528452,-1.168868,-8.144308,-0.559812
6.3726969,-1.746158,-7.984567,-0.459026
6.3925495,-2.350914,-7.991309,-0.514351
6.4124031,-2.763225,-8.308559,-0.612638
6.4322543,-3.043538,-8.380405,-0.364388
6.4521074,-2.957845,-8.363703,0.048775
6.471961,-2.866233,-8.250409,0.151179
6.4918137,-3.066934,-8.290249,0.090453
6.5116653,-3.36394,-8.558485,0.041266
6.5315189,-3.763082,-8.972261,0.042444
6.5513716,-4.405551,-9.389427,-0.375449
6.5712233,-4.988616,-9.838551,-0.646205
6.5910764,-5.020631,-10.259068,-0.853696
6.6109295,-4.936116,-9.966362,-0.999627
6.6307812,-4.997283,-9.337454,-1.255232
6.6506324,-3.765687,-9.440874,-0.400378
6.670486,-3.009416,-10.081513,0.888076
6.6903386,-3.439922,-10.645789,0.884054
6.7101917,-3.964855,-10.985401,-0.379692
6.7300439,-4.129203,-12.568735,-1.203805
6.7498965,-3.554183,-12.345078,-2.614114
6.7697496,-1.611365,-11.493825,-3.694225
6.7896018,-1.350224,-9.034549,0.112863
6.8094544,-2.213765,-8.122674,-2.774889
6.829339,-1.662189,-8.34407,-2.802183
6.8491588,-1.055776,-8.683817,-4.42051
6.8690124,-0.262558,-8.844507,-4.301193
6.8888655,0.861003,-9.594754,-3.765706
6.9087186,1.152368,-10.305181,-3.368651
6.9285703,0.444814,-11.171354,-2.567667
6.9484234,0.003227,-10.182895,-1.856177
6.9682765,-0.573574,-9.062178,-1.691082
6.9881282,-1.244621,-8.763745,-1.758206
7.0079808,-1.035856,-8.907676,-1.901111
7.0278339,-0.88257,-9.096453,-1.870475
7.0476861,-0.98101,-9.353447,-1.776546
7.0675387,-1.462953,-9.231851,-1.511057
7.0873919,-1.577884,-8.713879,-1.115717
7.1072435,-1.775894,-8.399559,-0.752354
7.1270967,-1.836563,-8.447806,-0.398108
7.1469498,-2.294766,-8.829825,-0.334508
7.1668029,-2.837809,-9.1875,-0.381779
7.1866546,-3.036422,-9.289704,-0.545323
7.2065077,-3.037639,-9.208072,-0.564735
7.2263608,-3.289049,-8.750031,-0.468698
7.2462125,-3.234959,-7.941807,-0.341815
7.2660651,-2.883586,-7.77064,-0.430966
7.2859187,-2.908601,-8.256701,-0.377326
7.3057718,-2.143337,-8.816839,-0.327891
7.325623,-1.780798,-9.462996,-0.507418
7.3454766,-1.612495,-10.160552,-0.568585
7.3653297,-1.789484,-10.939338,-0.355223
7.3851824,-2.194439,-11.502138,0.134449
7.4050341,-2.469533,-11.722183,0.913742
7.4248872,-2.052396,-11.576434,1.62957
7.4447389,-1.320996,-10.911803,2.138319
7.4645905,-1.391041,-10.128508,2.286539
7.4844451,-1.576055,-10.245192,-1.292792
7.5042982,-5.461241,-12.656286,-1.493876
7.5241494,-7.121323,-12.046713,-2.663635
7.544003,-5.141854,-10.723437,-3.280411
7.5638561,-2.626008,-9.174485,-4.015517
7.5837073,-0.375305,-8.501207,-4.396147
7.6035609,1.269281,-8.605929,-3.983482
7.623414,1.348299,-8.477533,-2.955537
7.6432667,-0.503271,-8.643183,-2.040463
7.6631188,-3.245886,-9.648547,-1.041612
7.6829715,-5.379858,-10.450872,-0.742825
7.7028246,-5.401108,-9.375904,-0.919852
7.7226768,-4.177528,-7.973927,-1.1781
7.742528,-2.83824,-7.431707,-1.139171
7.7623825,-1.899569,-7.877441,-1.267059
7.7822342,-1.469187,-8.521097,-1.668854
7.8020873,-1.221656,-9.415964,-1.754739
7.82197,-1.03215,-9.360773,-1.366103
7.8417916,-1.224174,-8.67403,-0.722541
7.8616438,-1.940376,-8.153731,-0.460913
7.8814969,-2.823214,-7.956851,-0.288568
7.9013495,-3.147724,-8.282463,-0.410519
7.9212031,-3.142323,-8.504281,-0.389077
7.9410543,-3.179356,-8.661915,-0.134334
7.9609075,-3.028502,-8.638969,0.23083
7.9807611,-3.06182,-8.547396,-0.139774
8.0006132,-3.057578,-8.896232,-0.597181
8.0204659,-2.733881,-9.60434,-0.358374
8.0403185,-2.777092,-10.132865,-0.080531
8.0601711,-3.073762,-10.654131,-0.090903
8.0800238,-3.516421,-11.115829,0.32632
8.0998764,-4.48682,-11.353209,0.761548
8.119729,-4.557621,-11.02549,1.803753
8.1395817,-4.335899,-10.193524,2.724151
8.1594343,-3.894983,-9.938685,-0.778288
8.179287,-2.490679,-12.177935,-1.957653
8.1991386,-1.312262,-12.411341,-1.994016
8.2189922,0.425967,-11.57382,-2.798199
8.2388449,-0.714229,-10.585158,-2.359352
8.2586966,-1.43926,-8.954161,-2.898545
8.2785501,-2.066158,-8.321833,-3.373526
8.2984028,-2.575385,-8.509386,-3.258987
8.3182554,-2.264618,-9.361999,-3.109829
8.3381081,-0.928567,-10.131429,-2.415127
8.3579607,-0.103995,-10.825412,-2.179892
8.3778133,0.045787,-9.937067,-2.230764
8.3976669,-0.347629,-9.167034,-1.936172
8.4175186,-1.040319,-8.528788,-1.932868
8.4373713,-1.481206,-8.428825,-1.891716
8.4572239,-1.957729,-8.462555,-1.82329
8.4770765,-2.267051,-8.359173,-1.796456
8.4969292,-2.665599,-8.670697,-1.661758
8.5167828,-2.462551,-8.50158,-1.103334
8.5366344,-1.85339,-8.424372,-0.956024
8.5564871,-1.458414,-8.744065,-1.074365
8.5763407,-1.486962,-9.075595,-1.270862
8.5961924,-1.751981,-9.179053,-1.464868
8.616045,-1.864192,-9.170846,-1.167125
8.6358986,-1.775741,-8.94716,-0.749481
8.6557512,-1.667485,-8.34569,-0.630183
8.6756029,-1.341672,-8.159516,-0.6866
8.6954556,-0.975235,-8.406157,-0.676056
8.7153091,-0.737089,-9.011086,-0.651299
8.7351618,-1.251363,-9.719789,-0.619495
8.7550135,-2.278907,-10.073,-0.526753
8.7748671,-2.684772,-10.547962,-0.157634
8.7947187,-2.676718,-11.304846,0.535439
8.8145952,-2.0437,-11.4023,1.239411
8.834425,-1.214061,-11.404502,1.918991
8.8542757,-0.692441,-11.060877,0.351335
8.8741293,-2.678508,-12.90491,-0.886966
8.8939829,-5.507421,-11.921458,-2.183483
8.9138355,-6.989604,-10.829961,-3.965382
8.9336872,-3.820772,-10.020787,-2.386856
8.9535408,-1.777647,-9.81254,-4.176187
8.9733934,-0.456143,-9.585914,-4.530998
8.9932451,-0.38834,-9.039616,-4.128408
9.0130987,-1.281003,-7.946384,-3.707785
9.0329514,-2.809251,-7.675179,-2.861502
9.052803,-4.102119,-8.335202,-1.893182
9.0726557,-4.802299,-9.196321,-1.774065
9.0925093,-4.48955,-8.975345,-1.580317
9.1123629,-3.276388,-8.24701,-1.398798
9.1322136,-2.314676,-8.616004,-1.421878
9.1520672,-1.62459,-8.767949,-1.51462
9.1719198,-1.424339,-8.95962,-1.80133
9.1917715,-1.480756,-9.003856,-1.97831
9.2116251,-1.523986,-8.628713,-1.745335
9.2314768,-1.600811,-8.084874,-1.351546
9.2513294,-1.862833,-8.296091,-1.119557
9.2711821,-1.856464,-8.416299,-1.040712
9.2910357,-1.736677,-8.667872,-0.890164
9.3108873,-1.550131,-8.808852,-0.886659
9.33074,-1.531236,-8.701956,-0.762304
9.3505926,-1.147876,-8.805232,-0.48563
9.3704453,-1.378744,-8.623473,-0.17131
9.3902979,-1.834227,-8.645213,-0.222757
9.4101515,-2.244076,-9.136619,-0.193595
9.4300022,-2.296202,-9.772144,-0.10002
9.4498558,-1.946955,-10.377447,-0.229077
9.4697094,-1.945892,-11.340787,-0.197129
9.4895601,-2.325727,-11.845208,0.414465
9.5094137,-2.588046,-11.292875,1.038653
9.5292673,-2.660676,-10.648729,1.992953
9.5491199,-3.230257,-10.445012,-0.320967
9.5689716,-2.401413,-13.406256,-1.746513
9.5888252,-0.621315,-12.822176,-2.758446
9.6086779,0.058696,-9.878572,-2.633095
9.6285295,-1.270172,-8.895638,-2.413671
9.6483831,-2.681918,-8.628359,-3.45876
9.6682339,-3.508932,-8.549043,-3.268669
9.6880875,-3.341836,-9.182367,-3.72103
9.7079411,-1.954866,-10.052439,-3.365328
9.7277937,-1.093355,-11.163664,-2.076481
9.7476463,-0.416984,-10.371346,-1.88823
9.767498,-0.233138,-9.635905,-1.932034
9.7873516,-0.240952,-9.011967,-1.776775
9.8072338,-0.812764,-8.34543,-2.018705
9.8270559,-1.015601,-8.024205,-2.018542
9.8469086,-1.463815,-8.483356,-1.936488
9.8667622,-1.698686,-7.920776,-1.850708
9.8866138,-2.313345,-9.121746,-1.690814
9.9064665,-2.61375,-9.352499,-1.093939
9.9263191,-2.040501,-8.549608,-0.704298
9.9461708,-1.747135,-8.091511,-0.74974
9.9660234,-1.784293,-7.99332,-0.657141
9.985877,-1.974632,-8.542665,-0.682644
10.0057287,-2.125773,-8.903117,-0.379347
10.0255823,-2.148949,-8.563839,0.019498
10.0454359,-1.880339,-7.944469,-0.108055
10.0652885,-1.390428,-8.141167,-0.585038
10.0851402,-0.869258,-9.029904,-0.717274
10.1049919,-0.759173,-9.966238,-0.626007
10.1248446,-1.416975,-10.782863,-0.463316
10.1446981,-2.004943,-10.966325,-0.059778
10.1645489,-2.417435,-11.739422,0.604431
10.1844044,-2.308173,-11.818976,1.255548
10.204258,-1.856081,-11.726973,1.40848
10.2241096,-1.203977,-11.35613,0.19349
10.2439623,-1.932197,-11.804256,-1.757564
10.263814,-4.425337,-11.033717,-2.595295
10.2836676,-5.132929,-10.525418,-2.869135
10.3035183,-4.750307,-11.55753,-3.845605
10.3233728,-1.843095,-10.796068,-4.695499
10.3432255,-0.685115,-9.849094,-4.898671
10.3630772,-0.384231,-8.791595,-4.387595
10.3829298,-1.636897,-8.216422,-3.730339
10.4027843,-3.285285,-8.804601,-2.421984
10.4226351,-4.956208,-10.281631,-1.205346
10.4424887,-5.187919,-9.915835,-1.303787
10.4623404,-4.563349,-7.994086,-1.932609
10.482193,-3.55018,-6.903872,-2.007739
10.5020466,-2.548714,-6.779939,-2.107692
10.5218973,-2.140656,-8.341208,-2.2709
10.5417509,-1.306631,-9.387895,-2.352648
10.5616045,0.058849,-9.253263,-1.601846
10.5814581,0.290417,-8.398746,-1.315154
10.6013088,-0.49038,-8.009285,-1.238741
10.6211605,-1.425479,-7.82699,-0.989571
10.6410131,-2.227565,-7.999095,-0.57594
10.6608667,-2.950164,-8.255189,-0.319923
10.6807203,-3.292554,-8.60682,-0.151304
10.7005711,-3.406279,-9.091569,-0.07716
10.7204247,-3.132535,-9.002141,0.133309
10.7402782,-3.063017,-8.185776,-0.031412
10.760129,-3.015727,-8.02999,-0.284795
10.7799826,-3.079451,-8.404482,-0.346968
10.7998657,-3.049581,-9.527831,-0.734101
10.8196888,-2.60516,-10.950801,-0.497946
10.8395405,-2.442373,-11.17779,-1.017392
10.8593941,-2.448598,-10.697599,0.660551
10.8792467,-3.351547,-9.709043,1.436779
10.8990993,-4.772946,-9.794899,-0.393358
10.918952,-4.879144,-12.963826,-1.281473
10.9388037,-2.883806,-13.927119,-2.827753
10.9586573,-0.733928,-11.689326,-1.802997
10.9785099,-1.401029,-9.797916,-2.389289
10.9983616,-1.837071,-9.202967,-3.155931
11.0182142,-1.471189,-8.709464,-3.811378
11.0380659,-1.160288,-8.222072,-4.126301
11.0579195,-0.708368,-8.19019,-4.130075
11.0777731,-0.109635,-9.498583,-3.318153
11.0976267,-0.022812,-11.397119,-2.519897
11.1174774,-0.781458,-10.907734,-2.342056
11.137331,-0.913943,-9.845082,-2.117231
11.1571846,-1.174375,-9.23957,-2.090061
11.1770353,-1.406143,-9.18276,-1.878663
11.1968889,-1.413029,-9.191301,-1.75178
11.2167425,-1.647967,-8.959754,-1.707535
11.2365932,-2.09778,-9.320963,-1.668663
11.2564468,-1.93191,-8.459519,-1.253805
11.2763004,-1.649203,-8.545212,-1.111791
11.2961512,-1.698619,-8.337299,-0.740469
11.3160048,-1.858178,-8.101213,-0.650696
11.3358574,-2.073484,-8.449952,-0.534022
11.35571,-2.377289,-8.555717,-0.527146
11.3755627,-2.461804,-8.425847,-0.186575
11.3954153,-2.60129,-7.868582,-0.159253
11.4152679,-2.703734,-7.550249,-0.324165
11.4351206,-2.481485,-7.917357,-0.442046
11.4549723,-2.724697,-8.692265,-0.663271
11.4748259,-2.973857,-9.009764,-0.91833
11.4946785,-3.006696,-10.604561,-1.039505
11.5145302,-3.067451,-11.13978,-0.224308
11.5343838,-2.851446,-10.605796,0.457771
11.5542374,-2.327643,-10.569203,0.9251
11.5740881,-1.741485,-10.427246,1.756913
11.5939407,-0.826134,-10.399617,-0.222891
11.6137953,-2.886181,-12.271135,-2.13875
11.633646,-5.338189,-11.376491,-2.724027
