Time,X,Y,Z
5.5198,-1.5359,7.8602,0.9541
5.5298,-1.5143,7.8841,1.069
5.5398,-1.506,7.9595,1.2127
5.5498,-1.4018,7.9511,1.3479
5.5599,-1.3384,8.0266,1.4832
5.5698,-1.2785,8.0541,1.6017
5.5798,-1.2953,8.1295,1.7466
5.5898,-1.3575,8.2373,1.9022
5.5998,-1.4353,8.3522,2.1033
5.6099,-1.5024,8.4551,2.3583
5.6199,-1.6556,8.6574,2.6528
5.6299,-1.7597,8.8406,2.9437
5.6398,-1.7957,9.0992,3.1747
5.6499,-1.7968,9.4008,3.207
5.6598,-1.7466,9.6965,3.0454
5.6698,-1.4904,9.7456,2.9137
5.6799,-1.1959,9.8174,2.9233
5.6898,-0.8296,9.7624,3.0754
5.6999,-0.559,9.6474,3.2741
5.7098,-0.5614,9.6367,3.4213
5.7199,-0.8116,9.6965,3.4943
5.7299,-1.385,9.9012,3.699
5.7399,-2.1213,10.161,3.7972
5.7499,-2.7713,10.4124,3.705
5.7598,-3.3579,10.5632,3.4357
5.7699,-3.6033,10.5345,3.0885
5.7799,-3.5243,10.4004,2.5391
5.7899,-3.3232,10.2197,1.9644
5.7998,-3.2501,10.1574,1.5191
5.8099,-3.3052,10.2831,1.3012
5.8198,-3.4572,10.5991,1.1145
5.8298,-3.6547,11.1067,1.0965
5.8399,-3.8487,11.6885,1.1337
5.8499,-3.9648,12.2667,1.1708
5.8598,-3.9552,12.7575,1.2318
5.8698,-3.8355,13.0197,1.312
5.8799,-3.6631,13.0376,1.3551
5.8899,-3.5123,12.8904,1.33
5.8999,-3.383,12.6653,1.306
5.9099,-3.2513,12.3493,1.2689
5.9198,-3.1184,11.9554,1.2306
5.9299,-2.9951,11.5173,1.1791
5.9398,-2.8802,11.0684,1.1133
5.9499,-2.7976,10.6494,1.0175
5.9599,-2.7102,10.2711,0.8859
5.9698,-2.6217,9.8557,0.7254
5.9801,-2.5498,9.42,0.5926
5.9899,-2.496,9.1135,0.5088
5.9999,-2.4469,8.9663,0.486
6.0099,-2.4469,8.4779,0.51
6.0198,-2.4385,8.0385,0.51
6.0299,-2.478,7.695,0.8799
6.0398,-2.5115,7.367,0.6536
6.0499,-2.5774,7.1551,0.747
6.0599,-2.6288,7.0006,0.844
6.0698,-2.6791,6.9037,0.9182
6.0798,-2.7438,6.8666,0.9661
6.0899,-2.7737,6.8235,1.0523
6.0999,-2.7521,6.7409,1.1612
6.1098,-2.7258,6.6726,1.2402
6.1199,-2.6612,6.5996,1.342
6.1299,-2.5941,6.5864,1.4449
6.1398,-2.4995,6.5888,1.5802
6.1498,-2.3655,6.608,1.7514
6.1598,-2.2003,6.6559,1.9333
6.1699,-2.0291,6.754,2.0794
6.1798,-1.8627,6.9192,2.2218
6.1899,-1.6939,7.1347,2.3667
6.1999,-1.549,7.3921,2.5546
6.2099,-1.4844,7.689,2.739
6.2199,-1.5814,8.0002,2.891
6.2298,-1.7885,8.3139,2.9724
6.2399,-2.1141,8.6766,2.9173
6.2499,-2.5438,9.0525,2.8144
6.2599,-2.9928,9.3218,2.8096
6.2699,-3.3172,9.5397,3.1292
